"journal_name","ISSN","JIF_2022","JCR_abbreviation","eISSN","category","total_citations","JIF_rank","JIF_5_year","JIF_5_year_quartile","JIF_without_self_cites","immediacy_index","journal_frequency"
"3D Printing in Medicine",NA,3.7,"3D PRINT MED","2365-6271","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI",584," N/A ",NA,NA,3.4,0.9,1
"3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies","0128-5157",0.7,"3L-LANG LINGUIST LIT","2550-2247","LANGUAGE & LINGUISTICS - ESCI",369," N/A ",0.7,NA,0.5,0.1,1
"A & A Practice","2575-3126",0.5,"A A PRACT","2575-3126","ANESTHESIOLOGY - ESCI",488," N/A ",NA,NA,0.5,0.1,1
"A&C-Revista de Direito Administrativo & Constitucional","1516-3210",0.2,"A C-REV DIREITO ADM","1984-4182","LAW - ESCI",83," N/A ",0.2,NA,0.2,0.3,1
"AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK","0171-5410",0.1,"AAA-ARB ANGLIST AM",NA,"LANGUAGE & LINGUISTICS - AHCI",51," N/A ",0.2,NA,0.1,0,1
"AACN Advanced Critical Care","1559-7768",2.2,"AACN ADV CRIT CARE","1559-7776","NURSING - ESCI",710," N/A ",1.6,NA,2.1,0.7,1
"AAPS Journal","1550-7416",4.5,"AAPS J","1550-7416","PHARMACOLOGY & PHARMACY - SCIE",7533," 76/278 ",4.3,"Q2",4.3,1.1,1
"AAPS PHARMSCITECH","1530-9932",3.3,"AAPS PHARMSCITECH","1530-9932","PHARMACOLOGY & PHARMACY - SCIE",11329," 138/278 ",3.3,"Q2",3.2,0.7,1
"ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery","0102-6720",1.5,"ABCD-ARQ BRAS CIR DI","2317-6326","GASTROENTEROLOGY & HEPATOLOGY - ESCI",933," N/A ",1.5,NA,0.7,0.2,1
"ACADEMIC EMERGENCY MEDICINE","1069-6563",4.4,"ACAD EMERG MED","1553-2712","EMERGENCY MEDICINE - SCIE",10838," 6/32 ",4,"Q1",4.1,0.8,1
"ACADEMIC MEDICINE","1040-2446",7.4,"ACAD MED","1938-808X","EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",23242," 1/43 ",7.4,"Q1",6.7,2,2
"ACADEMIC PSYCHIATRY","1042-9670",2.5,"ACAD PSYCHIATR","1545-7230","EDUCATION & EDUCATIONAL RESEARCH - SSCI",2720," 123/269 ",2.8,"Q3",2,1.1,2
"ACADEMIC RADIOLOGY","1076-6332",4.8,"ACAD RADIOL","1878-4046","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE",8982," 26/135 ",3.8,"Q2",4.3,1.6,1
"ACCESS-Access to science business innovation in the digital economy",NA,0.5,"ACCESS-ACCESS SCI BU","2683-1007","ECONOMICS - ESCI",26," N/A ",0.6,NA,0.4,0.3,1
"ACCIDENT ANALYSIS AND PREVENTION","0001-4575",5.9,"ACCIDENT ANAL PREV","1879-2057","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",29330," 18/180 ",6.1,"Q1",4.9,1.3,2
"ACE-Architecture City and Environment","1886-4805",0.6,"ACE-ARCHIT CITY ENVI","1886-4805","URBAN STUDIES - ESCI",194," N/A ",0.5,NA,0.4,0.1,1
"ACG Case Reports Journal",NA,0.7,"ACG CASE REP J","2326-3253","GASTROENTEROLOGY & HEPATOLOGY - ESCI",710," N/A ",0.8,NA,0.6,0.2,1
"ACM Transactions on Computing Education","1946-6226",2.4,"ACM T COMPUT EDUC","1946-6226","EDUCATION, SCIENTIFIC DISCIPLINES - SCIE",972," 25/43 ",3.6,"Q2",2,0.6,1
"ACR Open Rheumatology",NA,3.4,"ACR OPEN RHEUMATOL","2578-5745","RHEUMATOLOGY - ESCI",1013," N/A ",NA,NA,3.4,0.6,1
"ACS Applied Bio Materials","2576-6422",4.7,"ACS APPL BIO MATER","2576-6422","MATERIALS SCIENCE, BIOMATERIALS - ESCI",12105," N/A ",4.6,NA,4.6,1.1,1
"ACS Biomaterials Science & Engineering","2373-9878",5.7,"ACS BIOMATER SCI ENG","2373-9878","MATERIALS SCIENCE, BIOMATERIALS - SCIE",16718," 16/45 ",5.6,"Q2",5.6,1.1,1
"ACS Chemical Health & Safety",NA,3,"ACS CHEM HEALTH SAFE","1878-0504","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",296," N/A ",3,NA,2.4,1.5,1
"ACS Chemical Neuroscience","1948-7193",5,"ACS CHEM NEUROSCI","1948-7193","NEUROSCIENCES - SCIE",12133," 73/272 ",4.8,"Q2",4.8,1.1,1
"ACS Infectious Diseases","2373-8227",5.3,"ACS INFECT DIS",NA,"INFECTIOUS DISEASES - SCIE",6208," 28/96 ",5.1,"Q2",5,1.1,1
"ACS Pharmacology & Translational Science",NA,6,"ACS PHARMACOL TRANSL","2575-9108","PHARMACOLOGY & PHARMACY - ESCI",2111," N/A ",5.7,NA,5.8,1,1
"ACSMS HEALTH & FITNESS JOURNAL","1091-5397",1.5,"ACSMS HEALTH FIT J","1536-593X","SPORT SCIENCES - SCIE",616," 72/87 ",1.7,"Q4",1.3,1.1,1
"ACTA ALIMENTARIA","0139-3006",1.1,"ACTA ALIMENT HUNG","1588-2535","NUTRITION & DIETETICS - SCIE",892," 79/88 ",1,"Q4",1.1,0.1,1
"ACTA ANAESTHESIOLOGICA BELGICA","0001-5164",0,"ACTA ANAESTH BELG",NA,"ANESTHESIOLOGY - ESCI",287," N/A ",0.1,NA,0,0,1
"ACTA ANAESTHESIOLOGICA SCANDINAVICA","0001-5172",2.1,"ACTA ANAESTH SCAND","1399-6576","ANESTHESIOLOGY - SCIE",7100," 27/35 ",2.1,"Q4",1.9,0.5,1
"ACTA ARCHAEOLOGICA","0065-101X",0.8,"ACTA ARCHAEOL-DEN","1600-0390","ARCHAEOLOGY - AHCI",195," N/A ",0.9,NA,0.8,0,1
"ACTA BIOQUIMICA CLINICA LATINOAMERICANA","0325-2957",0.1,"ACTA BIOQUIM CLIN L","1851-6114","MEDICAL LABORATORY TECHNOLOGY - SCIE",90," 29/29 ",0.1,"Q4",0.1,0,1
"ACTA CARDIOLOGICA","0001-5385",1.6,"ACTA CARDIOL","1784-973X","CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE",1414," 119/143 ",1.5,"Q4",1.4,0.9,1
"ACTA CHIRURGICA BELGICA","0001-5458",0.8,"ACTA CHIR BELG","0001-5458","SURGERY - SCIE",1086," 192/213 ",0.9,"Q4",0.7,0.1,1
"ACTA CLINICA BELGICA","1784-3286",1.6,"ACTA CLIN BELG","2295-3337","MEDICINE, GENERAL & INTERNAL - SCIE",1303," 119/169 ",1.4,"Q4",1.6,0.3,1
"ACTA CYTOLOGICA","0001-5547",1.8,"ACTA CYTOL","1938-2650","PATHOLOGY - SCIE",2402," 53/76 ",2.1,"Q3",1.6,0.3,2
"ACTA DERMATO-VENEREOLOGICA","0001-5555",3.6,"ACTA DERM-VENEREOL","1651-2057","DERMATOLOGY - SCIE",7890," 16/70 ",4.2,"Q1",3.5,0.8,1
"ACTA DIABETOLOGICA","0940-5429",3.8,"ACTA DIABETOL","1432-5233","ENDOCRINOLOGY & METABOLISM - SCIE",5644," 70/145 ",3.8,"Q3",3.7,0.7,1
"ACTA ETHOLOGICA","0873-9749",1.1,"ACTA ETHOL","1437-9546","BEHAVIORAL SCIENCES - SCIE",491," 51/52 ",1,"Q4",1.1,0.4,1
"ACTA GASTRO-ENTEROLOGICA BELGICA","1784-3227",1.5,"ACTA GASTRO-ENT BELG","1784-3227","GASTROENTEROLOGY & HEPATOLOGY - SCIE",864," 87/93 ",1.4,"Q4",1.2,0.7,1
"ACTA HAEMATOLOGICA","0001-5792",2.4,"ACTA HAEMATOL-BASEL","1421-9662","HEMATOLOGY - SCIE",2242," 58/79 ",2.2,"Q4",2.4,0.5,1
"ACTA MEDICA OKAYAMA","0386-300X",0.5,"ACTA MED OKAYAMA","0386-300X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE",991," 132/136 ",0.7,"Q4",0.5,0.1,1
"ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA","1217-8950",1.5,"ACTA MICROBIOL IMM H","1588-2640","IMMUNOLOGY - SCIE",689," 149/161 ",1.7,"Q4",1.3,0.4,1
"ACTA NEUROBIOLOGIAE EXPERIMENTALIS","0065-1400",1.4,"ACTA NEUROBIOL EXP","1689-0035","NEUROSCIENCES - SCIE",1294," 251/272 ",1.7,"Q4",1.3,0.3,1
"ACTA NEUROCHIRURGICA","0001-6268",2.4,"ACTA NEUROCHIR","0942-0940","CLINICAL NEUROLOGY - SCIE",11363," 143/212 ",2.4,"Q4",2.3,0.4,2
"ACTA NEUROLOGICA BELGICA","0300-9009",2.7,"ACTA NEUROL BELG","2240-2993","CLINICAL NEUROLOGY - SCIE",2458," 131/212 ",2.4,"Q4",2.6,0.5,2
"ACTA NEUROLOGICA SCANDINAVICA","0001-6314",3.5,"ACTA NEUROL SCAND","1600-0404","CLINICAL NEUROLOGY - SCIE",8265," 86/212 ",3.3,"Q3",3.4,0.8,1
"ACTA NEUROPATHOLOGICA","0001-6322",12.7,"ACTA NEUROPATHOL","1432-0533","CLINICAL NEUROLOGY - SCIE",28439," 7/212 ",16.2,"Q1",12.2,1.8,4
