,PubMedID
0,37359457
1,37359456
2,37359455
3,37359454
4,37359453
5,37941803
6,37823061
7,37359037
8,37359036
9,37359035
10,37359034
11,37359033
12,37359032
13,37539045
14,36643807
15,38330373
16,38300540
17,38300539
18,38284993
19,38270998
20,38270997
21,38270996
22,38270995
23,38270994
24,38270993
25,38270992
26,38270991
27,38270990
28,38270989
29,38270988
30,38127579
31,38127578
32,38127577
33,38079461
34,38059956
35,38059955
36,38059954
37,38059953
38,38059952
39,38059951
40,38059950
41,38032604
42,38032603
43,38032602
44,38032601
45,37971830
46,37917493
47,37883045
48,37883044
49,37856410
50,37856409
51,37856408
52,37856407
53,37843546
54,37843545
55,37824272
56,37824271
57,37824270
58,37824269
59,37824268
60,37824267
61,37796559
62,37796558
63,37796557
64,37616111
65,37616110
66,37602990
67,37589673
68,37589672
69,37561478
70,37561477
71,37535531
72,37535530
73,37535529
74,37535528
75,37535527
76,37535526
77,37523298
78,37523297
79,37498723
80,37498722
81,37498713
82,37498712
83,37498711
84,37498710
85,37498709
86,37498708
87,37439741
88,37410407
89,37326537
90,37307362
91,37307361
92,37307360
93,37307359
94,37289533
95,37289532
96,37289531
97,37289530
98,37289529
99,37289528
100,37289527
101,37289526
102,37289525
103,37289524
104,37261767
105,37104781
106,37036691
107,37036690
108,37036689
109,37036688
110,37023301
111,37023300
112,37023299
113,37023298
114,37023297
115,37023296
116,37023295
117,37023294
118,36996180
119,36780282
120,36757954
121,36745070
122,36745069
123,36745068
124,36745067
125,36729504
126,36534411
127,36480366
128,36455018
129,36455017
130,36455016
131,36455015
132,36455014
133,36455013
134,36455012
135,36442032
136,36442031
137,36442030
138,36442028
139,36442027
140,36265045
141,36227308
142,36227307
143,36227306
144,36222635
145,36222634
146,36222633
147,36222632
148,36222631
149,36107686
150,36107685
151,36107684
152,36107683
153,36107682
154,36107681
155,36107680
156,36107679
157,36107678
158,36107677
159,36037489
160,36006739
161,36006738
162,35925743
163,35901408
164,35901407
165,35901406
166,35901405
167,35816579
168,35604713
169,38166314
170,38059985
171,38059984
172,37971857
173,37956049
174,37883023
175,37883022
176,37856382
177,37796581
178,37768590
179,37768589
180,37603028
181,37578781
182,37578780
183,37561472
184,37410424
185,37326563
186,37253210
187,37141024
188,37126067
189,37126066
190,36996161
191,36972096
192,36848117
193,36848116
194,36480368
195,36342431
196,35834187
197,37361053
198,37342836
199,37101577
200,36874986
201,37201034
202,37745943
203,37360190
204,37360189
205,37360188
206,37614811
207,37484761
208,38337140
209,38321258
210,38305982
211,38300474
212,38300473
213,38291155
214,38279076
215,38273217
216,38267776
217,38252261
218,38236376
219,38183528
220,38133711
221,38066388
222,38055178
223,37917303
224,37884684
225,37751114
226,37728843
227,37728842
228,37723296
229,37714981
230,37697148
231,37691084
232,37682486
233,37670086
234,37626248
235,37597122
236,37580539
237,37553500
238,37495755
239,37479896
240,37462860
241,37460900
242,37436634
243,37421547
244,37400707
245,37347408
246,37344709
247,37344708
248,37308744
249,37291446
250,37280461
251,37273099
252,37273098
253,37271774
254,37269478
255,37268849
256,37256480
257,37221424
258,37208500
259,37202583
260,37199895
261,37193931
262,37184808
263,37171668
264,37171667
265,37162699
266,37101099
267,37097544
268,37097543
269,37060509
270,37059965
271,37058219
272,37058218
273,37041377
274,37022593
275,37014513
276,36988862
277,36988861
278,36976492
279,36810980
280,36795260
281,36725767
282,36720796
283,36698038
284,36694098
285,36683120
286,36653694
287,36593339
288,36585542
289,36577907
290,36567413
291,36539631
292,36526878
293,36522516
294,36474009
295,36372836
296,36287373
297,36261774
298,36163456
299,36161388
300,36149626
301,36121591
302,36121590
303,36121589
304,36085348
305,35953647
306,35945410
307,35943682
308,35922739
309,35913653
310,35907077
311,35852672
312,35849319
313,35838914
314,35804259
315,35779223
316,35751737
317,35704171
318,35583718
319,35488141
320,35474418
321,35460046
322,35449475
323,35412263
324,35364805
325,35364804
326,35359218
327,35325400
328,35293606
329,34797486
330,34455550
331,34401991
332,34331658
333,33904106
334,33728525
335,33447895
336,33074468
337,38179181
338,38076327
339,37928779
340,37426287
341,38349355
342,38349328
343,38349029
344,38346264
345,38346262
346,38346174
347,38335540
348,38326107
349,38326023
350,38324992
351,38323544
352,38323456
353,38320297
354,38319146
355,38315869
356,38315019
357,38314700
358,38308644
359,38305746
360,38303668
361,38303492
362,38299869
363,38295366
364,38294873
365,38290529
366,38288693
367,38286026
368,38282578
